Unnamed: 0,words,counts
73,customer,866
74,phrase,853
75,output,846
76,if,825
77,product,814
78,construct,805
79,come,801
80,i,776
81,edit,767
82,type,760
83,number,760
84,most,757
85,10,756
86,your,743
87,poem,738
88,input,737
89,their,723
90,its,722
91,different,722
92,person,718
93,compare,717
94,way,707
95,me,705
96,at,692
97,question,689
98,would,686
99,who,685
100,based,675
101,x,667
102,all,647
103,learning,645
104,has,643
105,4,639
106,items,636
107,have,636
108,correct,631
109,language,629
110,people,627
111,paragraph,622
112,meaning,620
113,should,619
114,topic,618
115,change,601
116,appropriate,599
117,compose,595
118,main,584
119,do,584
120,short,579
121,analyze,579
122,numbers,577
123,concept,573
124,creative,562
125,technology,561
126,description,560
127,calculate,548
128,important,537
129,determine,523
130,order,521
131,movie,517
132,each,516
133,convert,515
134,when,510
135,code,509
136,system,504
137,algorithm,499
138,was,497
139,categorize,496
140,benefits,495
141,related,494
142,ai,491
143,could,489
144,world,486
145,artificial,484
146,title,476
147,some,475
148,answer,472
149,character,470
150,questions,465
151,form,459
152,positive,458
153,intelligence,454
154,does,447
155,so,447
156,ways,445
157,machine,439
158,computer,439
159,tell,439
160,not,435
161,best,432
162,time,429
163,business,425
164,verb,420
165,set,417
166,four,415
167,common,409
168,take,409
169,characters,407
170,company,405
171,online,405
172,than,402
173,reduce,399
174,information,394
175,below,394
176,process,391
177,someone,389
178,contrast,388
179,either,388
180,out,388
181,book,386
182,problem,385
183,recipe,379
184,same,375
185,model,372
186,website,368
187,difference,367
188,add,363
189,possible,359
190,string,353
191,improve,351
192,plan,350
193,help,343
194,provided,342
195,countries,342
196,job,340
197,news,340
198,will,339
199,query,339
200,any,338
201,importance,335
202,examples,332
203,steps,331
204,them,329
205,value,328
206,differences,325
207,post,324
208,equation,323
209,elements,321
210,8,320
211,service,320
212,program,320
213,adjectives,318
214,day,314
215,develop,311
216,first,311
217,complete,311
218,b,311
219,least,311
220,speech,310
221,good,309
222,energy,309
223,function,308
224,these,308
225,6,307
226,passage,307
227,headline,307
228,many,306
229,letter,303
230,natural,302
231,tweet,302
232,line,301
233,essay,300
234,table,300
235,metaphor,295
236,types,293
237,marketing,293
238,term,292
239,animals,291
240,us,291
241,tense,290
242,email,289
243,need,288
244,features,287
245,potential,286
246,impact,286
247,user,284
248,event,282
249,city,281
250,array,279
251,climate,279
252,food,278
253,life,277
254,situation,277
255,negative,277
256,they,276
257,game,275
258,summary,273
259,ingredients,273
260,store,273
261,he,271
262,where,269
263,blog,268
264,key,268
265,tips,267
266,outline,267
267,ideas,267
268,points,267
269,song,267
270,english,267
271,structure,266
272,sum,266
273,less,265
274,web,263
275,animal,262
276,advantages,262
277,argument,260
278,uses,260
279,7,260
280,task,260
281,work,260
282,research,258
283,sentiment,257
284,unique,257
285,definition,255
286,select,255
287,c,253
288,idea,252
289,area,251
290,concise,249
291,true,248
292,social,248
293,0,246
294,popular,246
295,solution,245
296,suitable,241
297,context,239
298,according,239
299,healthy,237
300,famous,237
301,t,235
302,software,235
303,read,233
304,evaluate,232
305,states,232
306,response,231
307,voice,230
308,year,228
309,100,227
310,predict,227
311,grammar,226
312,past,226
313,object,224
314,expression,222
315,python,222
316,interesting,221
317,strategy,221
318,theme,220
319,review,219
320,categories,218
321,item,218
322,media,217
323,dialogue,217
324,translate,216
325,few,216
326,replace,215
327,global,214
328,current,212
329,programming,210
330,point,207
331,country,207
332,original,206
333,cost,206
334,we,205
335,sort,205
336,choose,205
337,experience,205
338,facts,204
339,united,204
340,noun,204
341,environment,204
342,solve,203
343,science,202
344,car,201
345,but,201
346,ask,201
347,she,200
348,lines,199
349,false,199
350,student,198
351,formal,198
352,gpt,197
353,my,197
354,strategies,196
355,health,196
356,restaurant,195
357,imagine,195
358,arrange,194
359,present,194
360,n,194
361,without,193
362,please,193
363,like,191
364,successful,191
365,specific,191
366,content,190
367,whether,190
368,activities,190
369,brainstorm,187
370,scientific,187
371,tree,187
372,history,186
373,scenario,186
374,effective,186
375,piece,185
376,y,184
377,describes,184
378,human,184
379,characteristics,184
380,water,183
381,step,183
382,total,182
383,length,181
384,page,179
385,persuasive,179
386,terms,177
387,project,176
388,purpose,176
389,style,176
390,writing,176
391,state,175
392,novel,175
393,valid,174
394,haiku,174
395,population,174
396,describing,173
397,healthcare,173
398,color,173
399,children,173
400,opinion,173
401,had,172
402,making,172
403,tone,172
404,triangle,172
405,slogan,172
406,application,172
407,no,171
408,return,171
409,conversation,171
410,contains,171
411,being,170
412,top,170
413,message,170
414,think,169
415,internet,169
416,home,168
417,app,168
418,assistant,168
419,subject,168
420,analogy,168
421,things,168
422,there,167
423,detect,167
424,paper,166
425,group,166
426,simple,165
427,script,165
428,major,163
429,grammatically,162
430,other,162
431,format,162
432,rearrange,162
433,works,162
434,price,161
435,development,160
436,family,160
437,books,160
438,education,160
439,future,159
440,integer,159
441,during,158
442,search,158
443,network,158
444,increase,158
445,instructions,158
446,cat,157
447,events,156
448,effects,156
449,better,155
450,mobile,154
451,re,154
452,methods,151
453,team,151
454,remove,151
455,9,151
456,last,150
457,action,150
458,industry,149
459,synonym,149
460,active,148
461,non,148
462,market,146
463,such,146
464,next,146
465,rate,146
466,sports,145
467,neural,144
468,topics,144
469,digital,144
470,issue,143
471,long,143
472,components,143
473,while,143
474,passive,142
475,integers,142
476,report,142
477,french,141
478,relationship,141
479,html,141
480,pollution,140
481,might,140
482,reasons,140
483,sequence,140
484,sound,139
485,quote,139
486,living,137
487,fact,137
488,cities,136
489,years,135
490,stock,135
491,brief,135
492,place,135
493,single,134
494,apple,134
495,warming,134
496,our,134
497,shopping,134
498,sql,134
499,made,133
500,over,133
501,did,132
502,processing,132
503,cloud,132
504,been,131
505,document,131
506,12,130
507,old,130
508,species,129
509,second,129
510,interview,128
511,random,128
512,database,128
513,descriptive,128
514,setting,128
515,were,127
516,synonyms,127
517,field,127
518,adjective,127
519,ten,126
520,money,126
521,analysis,126
522,formulate,126
523,m,125
524,20,125
