Unnamed: 0,request,conversation_id
41035,Offer a suggestion for a healthy snack.,41035
50109,Name some typical characteristics of the Victorian era.,50109
11216,Analyse this hypothesis: Increased government spending will reduce poverty.,11216
49913,"In what type of sentence is the word ""euphemism"" used?",49913
15313,Rank the following items according to the cheapest to most expensive. Output a list of item index in the order from cheapest to most expensive.,15313
33751,Explain the difference between population density and population growth.,33751
14637,"Translate the phrase ""C'est la vie"" into English.",14637
26174,"Change the following sentence to the future tense, deleting unnecessary words in the process:
""I asked her what her favorite color is"".",26174
27219,Outline the advantages of television advertising.,27219
14643,Create a Twitter bio using the given user's information.,14643
37253,"Generate a list of 5 questions a traveler might ask about Frankfurt, Germany.",37253
3157,Formulate a conclusion based on the following statement,3157
21810,Rewrite the following sentence in the form of an imperative command: Please keep your cellphones off during the lecture.,21810
46543,Write a blog post discussing the advantages of solar energy.,46543
21492,List 5 advantages of online communication.,21492
9763,Identify the errors in the sentence and suggest a correction.,9763
40194,Propose components for a customized AI solution.,40194
11885,Identify 4 consequences of climate change.,11885
5271,Reword the sentence below using a different structure.,5271
40647,Provide three objects made from plastic.,40647
10859,Explain why globalization is a good thing.,10859
9834,Suggest a pop song that I should listen to.,9834
3438,"Given a list of items, find the outlier.",3438
18131,"Create a dictionary of 5 items, with keys being numbers and values being strings.",18131
1334,Identify the cognitive bias being described and reply with the respective category number: 1) Confirmation Bias; 2) Anchoring Bias; 3) Availability Heuristic; 4) Self-Serving Bias.,1334
29423,Come up with a business plan for a childcare centre.,29423
7821,"Find the synonym for ""abhor"".",7821
51505,Create a few sentences of dialogue between two individuals.,51505
46602,What is the main purpose of an agenda during a meeting?,46602
212,Rewrite the following sentence to avoid any logical fallacies.,212
47505,What is the monetary value of the British pound in US dollars?,47505
37829,How would you explain vector notation to a 5th grader?,37829
21847,Describe how to perform a basic yoga pose.,21847
11212,Identify the mistakes in the following sentence and suggest how to correct them.,11212
10853,Convert this sequence of numbers into a date.,10853
12942,Choose an appropriate title for a story about a cat who likes to chase butterflies.,12942
31919,Describe a difficult situation that you have faced and how you worked to overcome it.,31919
33229,"Given a year, list four major events that happened during that year.",33229
8075,Analyze the given text to identify the maximum and the minimum values.,8075
14604,"Classify the following document as either fiction or non-fiction:

The history of the Vikings is a fascinating and complex story.",14604
33648,Describe how gender roles have changed in the last 50 years.,33648
48120,Who can benefit from meditation and why?,48120
15200,Provide five adjectives that describe this character.,15200
39363,Create a recipe for a five-minute dinner using spinach and shrimp.,39363
37550,Name three objects that have mass.,37550
17676,Classify the type of the product listed in the following input.,17676
9892,How many paragraphs does the text have?,9892
47014,Add two elements to make this sentence humorous.,47014
18799,Describe the similarity between the following pairs.,18799
30652,Find the number of days in 5 years.,30652
50975,Where would you find this item?,50975
12662,"Given a text passage and a target word, find the most similar words to the target word.",12662
51643,Compare and contrast two given countries in terms of their economic activities.,51643
25726,Read the text below and determine the main idea.,25726
12281,Create a new time management system for working professionals.,12281
15924,Rank the following cities based on the number of historical landmarks they have.,15924
33091,Analyze the benefits and concerns of using artificial intelligence.,33091
7351,Describe a specific security risk that could occur in an online system.,7351
31327,Determine whether the sentence is grammatically correct or not. Output 1 for correct and 0 for incorrect.,31327
33746,Take the existing sentence and rephrase it,33746
7366,Generate a joke about a professor,7366
33691,Categorize this piece of text as to whether it is a fiction or non-fiction,33691
27515,"Rearrange the words to make a grammatically correct sentence: ""the student was extremely tired the exam"".",27515
22972,"In 100 words, describe the consequences of dropping out of high school",22972
12221,"Given a numerical vector 'x = [5, 4, 3]', calculate the sum",12221
6052,Name two items that are nearly impossible to find in stores during the pandemic.,6052
39830,How do scientists describe the process of evolution?,39830
8429,Rewrite the following sentence to use vivid imagery.,8429
20471,Design a creative logo for an organization focused on conservation.,20471
5996,Word the following sentence in the positive.,5996
15452,Design the output according to the given example.,15452
15805,Describe the total solar eclipse.,15805
9939,Generate product descriptions for a bamboo cutting board.,9939
5383,Describe the basic principles of thermodynamics.,5383
23744,Paraphrase this sentence with different words.,23744
