Unnamed: 0,request,conversation_id
592,Pretend you are the ambassador for the church of the big toe nail. Write a small article convincing people to join your church.,592
28497,"Edit the following sentence to make it grammatically correct: ""The patient had to put on a ventilator to surgery""",28497
48762,Describe a home cooked meal,48762
39096,Select a suitable representative from a given set of candidates .,39096
23984,Explain the concept of piracy in the digital age.,23984
27598,Explain why an organization might use open source software,27598
15636,Output the amount of days between the following two dates.,15636
14742,Compose an email to your supervisor about a project progress report.,14742
32465,Suggest a strategy to reach target audience.,32465
39084,Find a positive adjective that describes each of the following cities.,39084
24295,"Make an accurate analogy for the term ""financial risk"".",24295
17499,Analyze the following research paper and write an executive summary.,17499
27678,Write a list of five healthy meal options.,27678
34267,"Create a poem of 5 verses, each with 8 lines each, about a city skyline.",34267
2895,Which type of emotion is generally expressed in the following lyrics?,2895
22452,List two advantages of using GPT-3 models.,22452
51278,Write a letter to a customer to apologize for a mistake.,51278
42158,Produce a list of common words in the English language.,42158
50094,"Compose a short poem with the following words: beauty, dream, sun and blue.",50094
17486,Summarize the advantages of using a GPT model for understanding and completing tasks.,17486
13602,Describe a common way to market a new product,13602
7348,"Identify the type of the following phrase: ""an eight year-old girl"".",7348
42977,Create a daughter for a famous fairy tale character.,42977
43091,"Given two different texts, compare them.",43091
20145,Find a correlation between two provided datasets.,20145
954,Specify an algorithm to find the maximum sum in a given array.,954
32103,"Explain the concept of ""local maximum"".",32103
3425,Generate an acrostic poem.,3425
3675,"Given that M(2,5) is the midpoint of AB and A(3,1) is one endpoint, what is the product of the coordinates of point B?",3675
36725,Create a popular hashtag slogan related to the theme of saving energy.,36725
18828,Tell me what you would do if you won a million dollars,18828
46752,Name 5 countries that best exemplify democratic values,46752
42992,"Given the following sentence, determine whether it is active or passive voice",42992
21468,Provide an example of how the given technology can be used in everyday life.,21468
6900,Provide three examples of technologies in artificial intelligence,6900
18958,Describe a country that has a population of over 100 million people.,18958
34343,Compose a tweet summarizing the steps of cleaning a room.,34343
1312,Create a list of advantages of using paper money.,1312
2875,How can I combine blue and pink for my bedroom?,2875
28443,Create a dataset for a classification task.,28443
14565,Generate the atomic number and symbol of five chemical elements,14565
8624,Name two components of the solar system,8624
44769,Identify a political decision that affected a significant population.,44769
5439,Predict which of the following words is most likely to come next.,5439
30413,Identify three strategies to avoid identity theft.,30413
14779,Come up with a descriptive phrase for a dark and stormy night.,14779
24304,"Given a numerical profile of a student, predict their grade.",24304
48641,Reorder the following list to make a logical sequence,48641
551,What is the history of the Tour de France?,551
13852,Generate an analogy of a computer being a delicacy,13852
1991,Gather key facts about the history of the Death Penalty in the United States.,1991
30713,Provide the time and location of the next meeting,30713
22202,Pick two characters from a movie and explain how they are different.,22202
43164,Write a review of a movie in at least 50 words.,43164
17999,Identify which of the given situation is a moral dilemma.,17999
37122,Provide a list of topics related to renewable energy.,37122
49286,"Describe the concept of ""social capital"".",49286
19683,Write a business proposal to launch a new product.,19683
2622,"Imagine you are an early 20th-century Antarctic explorer who just made a significant discovery. Write a brief, compelling letter to a scientific journal requesting that they publish your findings.",2622
30370,Generate a short story about a <mask> trying to find their place in the world.,30370
19142,Categorize the following words under the given categories.,19142
10217,Describe a fictional character that would be a perfect match for the following book title.,10217
12048,What is the speed of light?,12048
1506,"Given a dialogue, identify whether the user is confused or not.",1506
245,"Give a definition of ""algae"".",245
12485,Simplify (3-2i)^2. (Your answer should be of the form a+bi.),12485
27857,"Given a list of items, indicate which items are difficult to recycle.",27857
13718,What is the most well-known landmark in France?,13718
36983,Is a hypothesis a statement or a question?,36983
16273,"Describe the main differences between ""fascism"" and ""authoritarianism"".",16273
7018,Create a summary for this article.,7018
11987,Compose a poem that captures my emotions.,11987
3815,Show how to set up a wifi network,3815
39061,Generate a new sentence that conveys the same message,39061
49764,Describe the different pieces of hardware on a computer.,49764
36506,Predict the future of the given technology in the next 5 years.,36506
23881,How would you rate the customer service provided by XYZ company?,23881
14679,Explain why mentorship is important for professional development.,14679
4861,Identify the different types of taxes and explain briefly what each tax is used for.,4861
47847,What is the scientific name for the largest species of ape?,47847
35915,Generate a list of ten professions in the engineering field.,35915
25124,Tell me an interesting fact about Bulgaria.,25124
14185,"Using the provided ingredients, come up with a recipe.",14185
43045,"Find the address of the restaurant ""The Blue Elephant"".",43045
6441,Create a dialogue between two people trying hard to make a connection.,6441
29883,"Given the Tasks for example valuating an employee’s performance, propose how Artificial Intelligence could benefit the process.",29883
49881,Provide two improvements for the given design.,49881
33966,Come up with a sentence that correctly uses the plural possessive form.,33966
8284,Classify the following news article by its sentiment.,8284
19564,Describe what a credit card is.,19564
49023,"Given two people, suggest a restaurant for them to visit.",49023
26674,Design a food delivery app that allows customers to select cuisine type.,26674
38607,Can you name three Arabic countries?,38607
31269,Tell me the title and author of a book that won the Pulitzer Prize in 2019,31269
