Unnamed: 0,request,conversation_id
31320,What can be done to prevent the spread of a cold?,31320
22551,Make a list of 5 assumptions of the normal distribution,22551
29964,Utilize the metaphor of a river to describe the emotional turmoil of a relationship.,29964
7179,Determine the closest word to the given word.,7179
30391,Suggest five strategies to increase motivation.,30391
41354,Create an original story with the following elements:,41354
49699,Generate a creative title for a blog post on healthy living.,49699
29642,Reword this sentence to increase clarity,29642
9350,Provide a suitable title for this news article.,9350
47921,Describe a meal that might be consumed by someone living in poverty.,47921
1770,"Given the input, make up an original idea.",1770
20986,Create an array of size 10 filled with random numbers between 0-100.,20986
48864,Name three things that the given profession may do on a daily basis.,48864
9029,Generate a 500-word story about a man who finds himself in an unfamiliar city.,9029
44364,Write a product description for an iPhone 12.,44364
9490,Name 3 different methods for network segmentation.,9490
18115,Write a brief report about the benefits of outsourcing,18115
32209,Make a list of 5 materials that can be recycled.,32209
36766,Suggest a business idea that uses artificial intelligence.,36766
24,Explain the concept of cogging torque.,24
26571,Make a flow chart representing a job application process.,26571
36100,What is the best way to maximize results when using a GPT model?,36100
27062,"In two sentences, explain what this data set is about",27062
36979,"Summarize the main points of the article ""How COVID-19 is reshaping the global economy""",36979
22562,Research one of the most common ethical issues related to data collection.,22562
8056,"Given a linked list which has both odd and even elements, rearrange the elements of the list so that all even numbers appear after all odd numbers",8056
24109,Describe the tone and atmosphere in the following poem.,24109
8005,Explain the concept of dark matter.,8005
47681,Generate a short story about a space exploration mission that gone wrong,47681
16019,"Generate five books titles using one or more of these keywords: drama, adventure, mystery.",16019
35803,Describe the nature of the political unrest in Syria.,35803
273,"Given a list of ingredients, come up with a dish",273
28459,Develop a set of rules for the use of proper etiquette while attending a meeting,28459
27289,Infer the symbolism from this excerpt.,27289
7629,Make a list of data types that can be used for storing information in a database.,7629
35168,"Reverse-engineer the following sentence using a process of elimination: ""Not all students are intelligent.""",35168
3565,Compare and contrast ice cream and frozen yogurt.,3565
19356,Imagine you are writing a research paper on why students should study history. Write a thesis statement.,19356
39716,Research the topic and write a summary about it.,39716
48598,"Given a sentence, please provide the proper punctuation.",48598
7272,Identify and fix the grammatical mistake.,7272
37911,"What is the correct pronunciation of the following word:

Kafka",37911
50897,"Given a photo, create a caption that describes it.",50897
34894,Provide two examples of a synonym for a noun.,34894
24263,Parse the following sentence and create a dictionary for the given structure,24263
904,"In this task, you need to identify the source of the sentence from the choices below.

Output should be chosen from:
- Newspaper
- Textbook
- Online article
- Encyclopedia",904
23200,"Given the following input, generate a title for an article related to basketball.",23200
21425,Describe a service that a company provides.,21425
50032,What are the four sub-fields of AI?,50032
18673,Create a rhetorical question to encourage discussion about the given topic.,18673
2,Describe the structure of an atom.,2
25788,How did the surrender of Japan officially end World War II?,25788
26830,Rewrite the sentence 'The cat meows loudly' with three different verbs.,26830
31268,Find the approximate value of 7 to the power of 5,31268
48717,Explain the reasons why artificial intelligence (AI) is important.,48717
42972,Explain what an algorithm is in 100 words.,42972
4748,Think of an innovative idea related to agriculture and explain why it is beneficial.,4748
11305,List three key points about the US economy.,11305
45421,Generate a math problem with a solution of 13,45421
39582,"Classify this as either fantasy, mystery, horror, or comedy.",39582
20698,Name a desert biome.,20698
38940,What do you think about this assessment?,38940
44925,Calculate the area of a triangle given the coordinates of its three vertices.,44925
49132,"Based on the given information, produce 5 questions that could potentially be asked in an interview.",49132
34333,Find the rhyme scheme of given poem.,34333
33316,Determine the correct sequence of the words.,33316
13914,Write a script for a 5-minute conversation between two characters,13914
8353,Write a tweet that could be sent by a presidential candidate.,8353
42097,Offer a suggestion to prevent ocean acidification,42097
1828,Create a declarative statement about the importance of protecting the environment.,1828
6506,"Given the start of a story, finish the story in 4 sentences.",6506
45003,"Generate a story with these keywords: campfire, tent, canoe.",45003
12283,Write a regex for an email address.,12283
10267,Name two ways to aerate soil.,10267
42007,"Given a dialogue, judge which character has stronger arguments",42007
36431,What type of simulation is used to model natural systems?,36431
2788,Answer the following question. What is the purpose of the  United Nations?,2788
9895,Describe the advantages of creating a lifestyle brand,9895
2972,Explain how coastal erosion happens.,2972
40448,Suggest the best outfit for a cocktail party,40448
4991,Write a set of instructions for a game of rock-paper-scissors.,4991
44883,Rewrite the sentence so that it is clear and direct.,44883
49704,What do scientists believe about dark matter?,49704
48217,Generate an SEO optimized title for an article on the top 5 summer destinations in Europe.,48217
30622,Compose a haiku about the theme darkness.,30622
40366,Generate an appropriate description write-up given the following input,40366
23085,List three techniques for increasing emotional intelligence.,23085
24221,Create five questions about the life cycle of frogs.,24221
28272,Create a list of 5 compatible smartphones that a customer might be interested in based on their provided preferences.,28272
34684,Please write a formal apology for being late to the meeting.,34684
47517,Design a foreign language phrase from the given words and identify the language.,47517
6318,Write a headline that summarises the story,6318
901,"In this task, you need to be able to summarize a given list of key points.",901
46175,Reorganize the sentence so its structure reflects the following: Subject - Verb - Object,46175
