,Unnamed: 0,words,counts,idf_2999
0,0,the,43888,0.43850496218636464
1,1,a,36648,0.6855759150636273
2,2,of,20902,0.6855759150636273
3,3,to,12630,1.6074399097714274
4,4,in,9575,0.9893992036947934
5,5,for,8084,1.9310215365615626
6,6,and,7745,1.6074399097714274
7,7,following,7225,1.820158943749753
8,8,given,7141,1.7475512145637346
9,9,sentence,7020,2.2710864259346746
10,10,an,6420,1.9310215365615626
11,11,that,5637,2.4580699958344407
12,12,is,5551,1.942117350816617
13,13,generate,5022,5.298317366548036
14,14,list,4121,1.820158943749753
15,15,create,4111,4.853631545286591
16,16,what,3820,2.3351082846996056
17,17,with,3585,2.7936080894638566
18,18,describe,3536,2.2710864259346746
19,19,write,3274,5.221356325411908
20,20,two,2980,2.294616923344869
21,21,about,2973,2.861201380596385
22,22,this,2711,2.4580699958344407
23,23,explain,2709,4.199705077879927
24,24,it,2517,2.460409178187613
25,25,how,2469,3.738069698304708
26,26,name,2365,5.298317366548036
27,27,words,2317,3.6809112844647593
28,28,on,2258,3.0576076772720784
29,29,three,2208,3.228926160721702
30,30,using,2083,4.853631545286591
31,31,you,2048,3.3991993789994823
32,32,are,2021,3.798694320121143
33,33,find,1875,4.546901277864116
34,34,identify,1869,2.7936080894638566
35,35,from,1843,3.313186504339442
36,36,make,1728,4.645992180508347
37,37,or,1724,3.2968373663379125
38,38,word,1721,5.221356325411908
39,39,can,1659,3.649658740960655
40,40,5,1659,2.972015746936675
41,41,story,1647,3.649658740960655
42,42,be,1575,2.861201380596385
43,43,3,1544,4.039856376938031
44,44,five,1508,2.9917402522844534
45,45,one,1475,3.9322257127456655
46,46,text,1456,4.199705077879927
47,47,into,1438,3.486755270023802
48,48,between,1403,3.3639015969184585
49,49,rewrite,1390,6.319968614080018
50,50,as,1382,3.738069698304708
51,51,s,1321,8.517193191416238
52,52,provide,1307,5.051457288616511
53,53,example,1304,3.882464203186602
54,54,suggest,1251,3.6809112844647593
55,55,new,1222,3.9424822129128545
56,56,up,1184,3.275446176356595
57,57,by,1133,3.892220378131966
58,58,classify,1131,3.228926160721702
59,59,why,1121,3.892220378131966
60,60,give,1097,3.358137892201708
61,61,article,1064,4.312500572025272
62,62,more,1015,3.3991993789994823
63,63,statement,1011,4.390058806371146
64,64,used,965,3.2493350323529095
65,65,data,958,4.803621124711929
66,66,use,913,4.546901277864116
67,67,design,912,6.214608098422191
68,68,1,910,4.9062752787720125
69,69,sentences,907,4.667045589706179
70,70,2,894,3.313186504339442
71,71,summarize,891,5.8781358618009785
72,72,which,880,3.789805372703897
73,73,customer,866,4.528209144851963
74,74,phrase,853,3.2968373663379125
75,75,output,846,5.472670753692815
76,76,if,825,3.575550768806933
77,77,product,814,4.710530701645918
78,78,construct,805,3.649658740960655
79,79,come,801,5.952243833954701
80,80,i,776,3.7465085669505727
81,81,edit,767,6.725433722188183
82,82,type,760,3.649658740960655
83,83,number,760,4.528209144851963
84,84,most,757,3.4420193761824107
85,85,10,756,4.625372893305611
86,86,your,743,4.039856376938031
87,87,poem,738,4.254513314374922
88,88,input,737,3.5132468854707786
89,89,their,723,4.254513314374922
